Argentina	Argentina
Australia	Australia
Australia: Northern Territory	Australia	Northern Territory
Belgium	Belgium
Boston, MA, USA	United States of America (USA)	Boston, Massachusetts, MA
Brazil	Brazil
Canada	Canada
Chile	Chile
China:No. 8, Dianli Road,Jingkou,Zhenjiang	China	No. 8, Dianli Road, Jingkou, Zhenjiang
Colombia	Colombia
Denmark	Denmark
Denmark: Zealand	Denmark	Zealand
Finland	Finland
France	France
France: Huningue	France	Huningue
France: Lyon	France	Lyon
France: Paris	France	Paris
Gabon	Gabon
Gambia	Gambia
Germany	Germany
Ghana	Ghana
Greece	Greece
Hungary	Hungary
Ireland	Ireland
Ireland: Dublin	Ireland	Dublin
Italy	Italy
Luxembourg	Luxembourg
Malaysia	Malaysia
Martinique	Martinique
Mozambique	Mozambique
Netherlands	Netherlands
Netherlands: Rotterdam	Netherlands	Rotterdam
New Zealand	New Zealand
Norway	Norway
not available
not collected
Perú	Perú
Poland	Poland
Portugal	Portugal
Russia: Saint Petersburg	Russia	Saint Petersburg
Singapore	Singapore
Spain	Spain
Sweden	Sweden
Switzerland	Switzerland
Switzerland: Bern	Switzerland	Bern
Taiwan	Taiwan
Tanzania	Tanzania
Thailand	Thailand
Turkey	Turkey
UK	United Kingdom (UK)
United Kingdom	United Kingdom (UK)
United Kingdom: Aberdeen	United Kingdom (UK)	Aberdeen
United Kingdom: Barking	United Kingdom (UK)	Barking
United Kingdom: Berkshire	United Kingdom (UK)	Berkshire
United Kingdom: Brighton	United Kingdom (UK)	Brighton
United Kingdom: Bristol	United Kingdom (UK)	Bristol
United Kingdom: Buckinghamshire	United Kingdom (UK)	Buckinghamshire
United Kingdom: Central Middlesex	United Kingdom (UK)	Central Middlesex
United Kingdom: Charing Cross	United Kingdom (UK)	Charing Cross
United Kingdom: Chester	United Kingdom (UK)	Chester
United Kingdom: Devon	United Kingdom (UK)	Devon
United Kingdom: East Birmingham	United Kingdom (UK)	East Birmingham
United Kingdom: England	United Kingdom (UK)	England
United Kingdom: Essex	United Kingdom (UK)	Essex
United Kingdom: Hertfordshire	United Kingdom (UK)	Hertfordshire
United Kingdom: High Wycombe	United Kingdom (UK)	High Wycombe
United Kingdom: Lanarkshire	United Kingdom (UK)	Lanarkshire
United Kingdom: Leicester	United Kingdom (UK)	Leicester
United Kingdom: Lincolnshire	United Kingdom (UK)	Lincolnshire
United Kingdom: London	United Kingdom (UK)	London
United Kingdom: Manchester	United Kingdom (UK)	Manchester
United Kingdom: Northamptonshire	United Kingdom (UK)	Northamptonshire
United Kingdom: Northern Ireland	United Kingdom (UK)	Northern Ireland
United Kingdom: Nottingham	United Kingdom (UK)	Nottingham
United Kingdom: Oxford	United Kingdom (UK)	Oxford
United Kingdom: Preston	United Kingdom (UK)	Preston
United Kingdom: Scotland	United Kingdom (UK)	Scotland
United Kingdom: Somerset	United Kingdom (UK)	Somerset
United Kingdom: Suffolk	United Kingdom (UK)	Suffolk
United Kingdom: Surrey	United Kingdom (UK)	Surrey
United Kingdom: Taunton	United Kingdom (UK)	Taunton
United Kingdom: Truro	United Kingdom (UK)	Truro
United Kingdom: Wales	United Kingdom (UK)	Wales
United Kingdom: Wiltshire	United Kingdom (UK)	Wiltshire
United Kingdom: Yorkshire	United Kingdom (UK)	Yorkshire
United States	United States of America (USA)
Uruguay	Uruguay
USA	United States of America (USA)
USA:Boston	United States of America (USA)	Boston, Massachusetts, MA
USA: Boston	United States of America (USA)	Boston, Massachusetts, MA
USA: Boston, MA	United States of America (USA)	Boston, Massachusetts, MA
USA: Chicago	United States of America (USA)	Chicago, Illinois, IL
USA: Chicago: Illinois	United States of America (USA)	Chicago, Illinois, IL
USA:CO	United States of America (USA)	Colorado, CO
USA:CT	United States of America (USA)	Connecticut, CT
USA: Houston	United States of America (USA)	Houston, Texas, TX
USA: Irvine, CA	United States of America (USA)	Irvine, California, CA
USA: Jacksonville, FL	United States of America (USA)	Jacksonville, Florida, FL
USA:MD	United States of America (USA)	Mayland, MD
USA: MS	United States of America (USA)	Mississippi, MS
USA: New York	United States of America (USA)	New York, NY
USA: New York, BronxPark	United States of America (USA)	Bronx Park, New York City, NYC, New York, NY
USA: New York, CentralBronx	United States of America (USA)	Central Bronx, New York City, NYC, New York, NY
USA: New York, CentralHarlem	United States of America (USA)	Central Harlem, New York City, NYC, New York, NY
USA: New York, EastHarlem	United States of America (USA)	East Harlem, New York City, NYC, New York, NY
USA: New York, Hunts Point and Mott Haven	United States of America (USA)	Hunts Point and Mott Haven, New York City, NYC, New York, NY
USA: New York, Inwood	United States of America (USA)	Inwood, New York City, NYC, New York, NY
USA: New York, Morrisania	United States of America (USA)	Morrisania, New York City, NYC, New York, NY
USA: New York, Riverdale	United States of America (USA)	Riverdale, New York City, NYC, New York, NY
USA:NM	United States of America (USA)	New Mexico, NM
USA: North Carolina	United States of America (USA)	North Carolina, NC
USA:North Carolina, Durham	United States of America (USA)	Durham, North Carolina, NC
USA: NY	United States of America (USA)	New York, NY
USA:OR	United States of America (USA)	Oregon, OR
USA: Oregon	United States of America (USA)	Oregon, OR
USA:PA	United States of America (USA)	Pennsylvania, PA
USA: Pacific Northwest	United States of America (USA)	Pacific Northwest
USA: San Francisco	United States of America (USA)	San Francisco, California, CA
USA: Tennessee	United States of America (USA)	Tennessee. TN
USA:TN	United States of America (USA)	Tennessee. TN
USA:TX	United States of America (USA)	Texas, TX
USA: Washington	United States of America (USA)	Washington, WA
USA: Washington, DC	United States of America (USA)	Washington, DC
